season,round,driver,team,circuitId,length_km,corners,laps,avg_temp,precip_mm,leak_proof_weighted_mean,leak_proof_weighted_podium_rate,leak_proof_current_mean,leak_proof_current_podium_rate,leak_proof_current_wins_rate,leak_proof_recent_form,leak_proof_consistency,leak_proof_peak_performance,leak_proof_career_mean,leak_proof_career_podium,leak_proof_last3_fin,leak_proof_points_rate,leak_proof_team_mean,leak_proof_team_podium_rate,leak_proof_circuit_mean_norm,leak_proof_circuit_podium_norm,Q1,Q2,Q3,made_Q2,made_Q3,grid_position
2025,18,russell,mercedes,marina_bay,5.063,23,61,25.0,0.0,4.982328482328483,0.3775467775467775,4.923076923076923,0.38461538461538464,0.07692307692307693,14.333333333333332,16.57919198069589,20.0,6.108108108108108,0.24324324324324326,6.666666666666667,0.8918918918918919,7.244897959183674,0.20408163265306123,-5.097082390648568,0.23296097285067874,,,,0,0,
2025,18,antonelli,mercedes,marina_bay,5.063,23,61,25.0,0.0,10.75,0.08333333333333333,10.75,0.08333333333333333,0.0,9.333333333333334,14.789671359889091,18.0,10.75,0.08333333333333333,11.666666666666666,0.5,7.244897959183674,0.20408163265306123,0.7298406862745086,-0.06832107843137257,,,,0,0,
2025,18,max_verstappen,red_bull,marina_bay,5.063,23,61,25.0,0.0,3.7458333333333336,0.4222222222222222,3.75,0.4166666666666667,0.16666666666666666,17.333333333333332,17.577386128368303,20.0,3.6666666666666665,0.5277777777777778,3.6666666666666665,0.9722222222222222,8.211267605633802,0.2676056338028169,-6.270159313725491,0.2650122549019608,,,,0,0,
2025,18,tsunoda,red_bull,marina_bay,5.063,23,61,25.0,0.0,12.915119047619047,0.0,12.916666666666666,0.0,0.0,6.333333333333334,17.275901778547563,14.0,12.885714285714286,0.0,14.666666666666666,0.34285714285714286,8.211267605633802,0.2676056338028169,2.8965073529411747,-0.1516544117647059,,,,0,0,
2025,18,albon,williams,marina_bay,5.063,23,61,25.0,0.0,10.195135746606333,0.0,10.076923076923077,0.0,0.0,10.666666666666666,16.193494456086416,16.0,12.441176470588236,0.0,10.333333333333334,0.38235294117647056,10.088235294117647,0.1323529411764706,0.05676376319758525,-0.1516544117647059,,,,0,0,
2025,18,sainz,williams,marina_bay,5.063,23,61,25.0,0.0,11.786764705882351,0.01323529411764706,12.0,0.0,0.0,7.666666666666666,15.718191175711867,20.0,7.735294117647059,0.2647058823529412,13.333333333333334,0.7647058823529411,10.088235294117647,0.1323529411764706,1.9798406862745086,-0.1516544117647059,,,,0,0,
2025,18,hulkenberg,kick_sauber,marina_bay,5.063,23,61,25.0,0.0,10.99705882352941,0.08063725490196078,11.0,0.08333333333333333,0.0,13.0,17.299539942847495,18.0,10.941176470588236,0.029411764705882353,8.0,0.4411764705882353,12.085106382978724,0.02127659574468085,0.9798406862745086,-0.06832107843137257,,,,0,0,
2025,18,bortoleto,kick_sauber,marina_bay,5.063,23,61,25.0,0.0,15.076923076923077,0.0,15.076923076923077,0.0,0.0,9.333333333333334,17.360825678317987,13.0,15.076923076923077,0.0,11.666666666666666,0.15384615384615385,12.085106382978724,0.02127659574468085,5.056763763197585,-0.1516544117647059,,,,0,0,
2025,18,lawson,rb,marina_bay,5.063,23,61,25.0,0.0,12.926388888888887,0.0,12.916666666666666,0.0,0.0,10.0,17.136309461775774,15.0,13.11111111111111,0.0,11.0,0.2777777777777778,12.533333333333333,0.0,2.8965073529411747,-0.1516544117647059,,,,0,0,
2025,18,hadjar,rb,marina_bay,5.063,23,61,25.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,0.0,4.666666666666668,16.77166842847112,15.0,11.666666666666666,0.0,16.333333333333332,0.4166666666666667,12.533333333333333,0.0,1.6465073529411747,-0.1516544117647059,,,,0,0,
